gameid	Trial	TargetItem	UtteranceType	redUtterance	SufficientProperty	RedundantProperty	NumDistractors	NumSameDistractors	SceneVariation	speakerMessages	listenerMessages	refExp	minimal	redundant	clickedType	clickedSize	clickedColor	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	ColorTypicality	OtherColorTypicality	OtherColor	TypicalityDiff	normTypicality	ColorTypicalityModified	ColorTypicalityUnModified	OtherColorTypicalityModified	OtherColorTypicalityUnModified	TypicalityDiffModified	normTypicalityModified	TypicalityDiffUnModified	normTypicalityUnModified	alt1Name	alt1SpLocs	alt1LisLocs	alt2Name	alt2SpLocs	alt2LisLocs	alt3Name	alt3SpLocs	alt3LisLocs	alt4Name	alt4SpLocs	alt4LisLocs
2662-0	25	big_purple_bike	size	minimal	size	color redundant	2	1	0.5	large		large	1	0	bike	big	purple	FALSE	TRUE	FALSE	FALSE	FALSE	0.349	0.868	red	-0.519	0.286770747740345	0.701666666666667	0.625	0.814736842105263	0.76	-0.113070175438596	0.46271764910048	-0.135	0.451263537906137	small_purple_bike	2	2	small_red_bike	3	4	undefined	undefined	undefined	undefined	undefined	undefined
2662-0	28	big_purple_hairdryer	color	minimal	color	size redundant	3	1	0.666666666666667	purple		purple	1	0	hairdryer	big	purple	TRUE	FALSE	FALSE	FALSE	FALSE	0.332	0.2975	pink	0.0345	0.527402700555997	0.688823529411765	0.47625	0.497058823529412	0.589444444444444	0.191764705882353	0.580853174603175	-0.113194444444444	0.446891698162388	small_pink_hairdryer	3	4	big_pink_hairdryer	4	3	small_pink_hairdryer	2	1	undefined	undefined	undefined
2662-0	29	small_red_pepper	size	minimal	size	color redundant	3	2	0.333333333333333	small		small	1	0	pepper	small	red	FALSE	TRUE	FALSE	FALSE	FALSE	0.922916666666667	0.873125	green	0.049791666666667	0.513861500985965	0.88875	0.847857142857143	0.8	0.8875	0.08875	0.526276831976314	-0.039642857142857	0.488577896686561	big_green_pepper	4	2	big_red_pepper	2	4	big_red_pepper	1	3	undefined	undefined	undefined
2662-0	35	small_red_stapler	color	minimal	color	size redundant	3	3	0	red		red	1	0	stapler	small	red	TRUE	FALSE	FALSE	FALSE	FALSE	0.531052631578947	0.326666666666667	purple	0.20438596491228	0.619145019431376	0.8605	0.594444444444444	0.772727272727273	0.702222222222222	0.087772727272727	0.526870947093039	-0.107777777777778	0.458440445586975	small_purple_stapler	1	4	small_purple_stapler	4	3	small_purple_stapler	3	2	undefined	undefined	undefined
2662-0	36	big_black_belt	size	minimal	size	color redundant	4	2	0.5	large		large	1	0	belt	big	black	FALSE	TRUE	FALSE	FALSE	FALSE	0.909130434782609	0.870588235294118	brown	0.038542199488491	0.510828171928665	0.877894736842105	0.928181818181818	0.81625	0.782142857142857	0.0616447368421049	0.518193468214826	0.146038961038961	0.542693344470177	small_black_belt	1	3	small_brown_belt	2	2	small_brown_belt	5	1	small_black_belt	4	4
2662-0	37	big_blue_golfball	size	minimal	size	color redundant	3	1	0.666666666666667	large		large	1	0	golfball	big	blue	FALSE	TRUE	FALSE	FALSE	FALSE	0.762916666666667	0.185	pink	0.577916666666667	0.804835164835165	0.828235294117647	0.941	0.799444444444444	0.390666666666667	0.028790849673203	0.508844138374124	0.550333333333333	0.706633291614518	small_pink_golfball	4	1	small_blue_golfball	3	2	small_pink_golfball	2	4	undefined	undefined	undefined
2662-0	38	small_white_shoe	size	minimal	size	color redundant	4	2	0.5	small		small	1	0	shoe	small	white	FALSE	TRUE	FALSE	FALSE	FALSE	0.6905	0.3075	yellow	0.383	0.69188376753507	0.688947368421053	0.67125	0.65	0.486666666666667	0.038947368421053	0.514544025157233	0.184583333333333	0.579704929830874	big_white_shoe	3	1	big_yellow_shoe	5	5	big_white_shoe	2	4	big_yellow_shoe	4	3
2662-0	39	small_pink_framee	size	minimal	size	color redundant	4	1	0.75	small		small	1	0	framee	small	pink	FALSE	TRUE	FALSE	FALSE	FALSE	0.26	0.235	green	0.025	0.525252525252525	0.647272727272727	0.4475	0.663809523809524	0.455555555555556	-0.016536796536797	0.493693455722116	-0.00805555555555598	0.495539833897262	big_green_framee	1	2	big_green_framee	2	5	big_green_framee	4	4	big_pink_framee	5	3
2662-0	41	big_blue_ornament	size	minimal	size	color redundant	3	3	0	large		large	1	0	ornament	big	blue	FALSE	TRUE	FALSE	FALSE	FALSE	0.801052631578947	0.674761904761905	purple	0.126290726817042	0.542786787806742	0.881428571428571	0.909	0.797083333333333	0.81	0.084345238095238	0.525125004432781	0.099	0.528795811518325	small_blue_ornament	3	4	small_blue_ornament	2	3	small_blue_ornament	4	2	undefined	undefined	undefined
2662-0	44	small_purple_billiardball	size	minimal	size	color redundant	4	1	0.75	small		small	1	0	billiardball	small	purple	FALSE	TRUE	FALSE	FALSE	FALSE	0.645294117647059	0.827826086956522	orange	-0.182531969309463	0.43804579940624	0.860588235294118	0.641111111111111	0.8408	0.798888888888889	0.019788235294118	0.505815320361228	-0.157777777777778	0.445216049382716	big_orange_billiardball	3	4	big_orange_billiardball	1	2	big_orange_billiardball	5	3	big_purple_billiardball	4	5
