Item,Color,Utterance,Combo,RoundMTypicality,YMin,YMax
banana,blue,green_avocado,blue_banana,0.005,0.00142857142857143,0.00857142857142857
banana,blue,green_pear,blue_banana,0.025,0.005,0.0533541666666667
banana,blue,green_pepper,blue_banana,0.014,0.0025,0.03375
banana,blue,green_tomato,blue_banana,0.017,0.0075,0.027515625
banana,blue,orange_carrot,blue_banana,0.025,0.0107142857142857,0.0414285714285714
banana,blue,orange_pear,blue_banana,0.018,0.0075,0.0308333333333333
banana,blue,orange_pepper,blue_banana,0.037,0.0141176470588235,0.0694264705882353
banana,blue,purple_carrot,blue_banana,0.024,0.00272727272727273,0.0509090909090909
banana,blue,purple_tomato,blue_banana,0.001,0,0.00428571428571429
banana,blue,red_apple,blue_banana,0.027,0.009,0.046
banana,blue,red_avocado,blue_banana,0.041,0.0173333333333333,0.068
banana,blue,red_pepper,blue_banana,0.008,0.001,0.018025
banana,blue,red_tomato,blue_banana,0.014,0.00428571428571429,0.0271428571428571
banana,blue,yellow_banana,blue_banana,0.149,0.119928125,0.178078125
banana,blue,yellow_pear,blue_banana,0.014,0.004,0.0273333333333333
banana,brown,black_avocado,brown_banana,0.009,0.00222222222222222,0.0177777777777778
banana,brown,black_pepper,brown_banana,0.032,0.0146153846153846,0.0538461538461538
banana,brown,blue_apple,brown_banana,0.126,0.00909090909090909,0.264590909090909
banana,brown,blue_banana,brown_banana,0.151,0.1262484375,0.17919375
banana,brown,brown_banana,brown_banana,0.909,0.87668125,0.9364390625
banana,brown,brown_carrot,brown_banana,0.053,0.0183333333333333,0.1
banana,brown,green_apple,brown_banana,0.016,0.00142857142857143,0.0371607142857143
banana,brown,green_avocado,brown_banana,0.021,0.00846153846153846,0.0369230769230769
banana,brown,green_pear,brown_banana,0.023,0.00630263157894737,0.0442105263157895
banana,brown,green_pepper,brown_banana,0.004,0,0.008
banana,brown,green_tomato,brown_banana,0.003,0,0.00571428571428571
banana,brown,orange_carrot,brown_banana,0.02,0.005,0.045
banana,brown,orange_pear,brown_banana,0.025,0.008,0.0465125
banana,brown,orange_pepper,brown_banana,0.049,0.0129411764705882,0.0958970588235294
banana,brown,purple_carrot,brown_banana,0.044,0.0125,0.08503125
banana,brown,purple_tomato,brown_banana,0.004,0,0.00875
banana,brown,red_apple,brown_banana,0.018,0.00907954545454545,0.0286363636363636
banana,brown,red_avocado,brown_banana,0.01,0.00125,0.023125
banana,brown,red_pepper,brown_banana,0.025,0.00414583333333333,0.0516666666666667
banana,brown,red_tomato,brown_banana,0.034,0.00428571428571429,0.075
banana,brown,yellow_banana,brown_banana,0.3,0.2615546875,0.338071875
banana,brown,yellow_pear,brown_banana,0.045,0.019047619047619,0.0776309523809524
banana,yellow,black_avocado,yellow_banana,0.046,0.02075,0.0715384615384615
banana,yellow,black_pepper,yellow_banana,0.044,0.0145454545454545,0.0781818181818182
banana,yellow,blue_apple,yellow_banana,0.029,0.00851851851851852,0.0551944444444444
banana,yellow,blue_banana,yellow_banana,0.162,0.134175,0.191384375
banana,yellow,brown_banana,yellow_banana,0.224,0.1916734375,0.2585015625
banana,yellow,brown_carrot,yellow_banana,0.028,0.004375,0.056890625
banana,yellow,green_apple,yellow_banana,0.05,0.0106964285714286,0.117857142857143
