gameid	context	NormedTypicality	UtteranceType	Color	ColorAndType	Type	ColorMentioned	ItemMentioned	Other	Item	TargetColor	Target	Dist1	Dist2	UttforBDA
3985-8	overinformative-cc	0.961	type	0	0	1	FALSE	TRUE	FALSE	apple	green	green_apple	black_pepper	green_tomato	apple
3985-8	informative	0.961	color_and_type	0	1	0	TRUE	TRUE	FALSE	apple	green	green_apple	orange_pepper	red_apple	green_apple
3985-8	informative-cc	0.738	color_and_type	0	1	0	TRUE	TRUE	FALSE	tomato	green	green_tomato	red_tomato	red_tomato	green_tomato
3985-8	informative	0.412	color_and_type	0	1	0	TRUE	TRUE	FALSE	tomato	purple	purple_tomato	blue_banana	red_tomato	purple_tomato
3985-8	overinformative-cc	0.979	type	0	0	1	FALSE	TRUE	FALSE	banana	yellow	yellow_banana	red_tomato	yellow_pear	banana
3985-8	overinformative	0.953	type	0	0	1	FALSE	TRUE	FALSE	pear	green	green_pear	black_avocado	red_pepper	pear
3985-8	informative-cc	0.812	color_and_type	0	1	0	TRUE	TRUE	FALSE	avocado	black	black_avocado	green_avocado	black_pepper	black_avocado
3985-8	informative-cc	0.934	color_and_type	0	1	0	TRUE	TRUE	FALSE	pepper	red	red_pepper	orange_pear	orange_pepper	red_pepper
3985-8	overinformative	0.657	color_and_type	0	1	0	TRUE	TRUE	FALSE	banana	brown	brown_banana	green_avocado	red_pepper	brown_banana
3985-8	overinformative	0.503	color_and_type	0	1	0	TRUE	TRUE	FALSE	carrot	purple	purple_carrot	yellow_pear	green_tomato	purple_carrot
3985-8	overinformative-cc	0.738	color_and_type	0	1	0	TRUE	TRUE	FALSE	tomato	green	green_tomato	yellow_pear	red_tomato	green_tomato
3985-8	overinformative	0.412	color_and_type	0	1	0	TRUE	TRUE	FALSE	tomato	purple	purple_tomato	orange_pepper	red_avocado	purple_tomato
3985-8	overinformative-cc	0.962	color_and_type	0	1	0	TRUE	TRUE	FALSE	tomato	red	red_tomato	green_pear	purple_carrot	red_tomato
3985-8	informative	0.924	color_and_type	0	1	0	TRUE	TRUE	FALSE	pear	yellow	yellow_pear	green_pear	blue_banana	yellow_pear
3985-8	overinformative-cc	0.657	color_and_type	0	1	0	TRUE	TRUE	FALSE	banana	brown	brown_banana	brown_carrot	green_pear	brown_banana
3985-8	overinformative	0.966	type	0	0	1	FALSE	TRUE	FALSE	avocado	green	green_avocado	red_pepper	blue_banana	avocado
3985-8	overinformative-cc	0.953	type	0	0	1	FALSE	TRUE	FALSE	pear	green	green_pear	green_apple	black_avocado	pear
