gameid	Trial	condition	TargetItem	basiclevelClickedObj	superdomainClickedObj	speakerMessages	listenerMessages	refExp	clickedType	sub	basic	super	moreThanOneLevelMentioned	additionalAttrMentioned	oneMentioned	theMentioned	fullSentence	spLocsClickedObj	lisLocsClickedObj	alt1Name	alt1SpLocs	alt1LisLocs	alt1Basiclevel	alt1superdomain	alt2Name	alt2SpLocs	alt2LisLocs	alt2Basiclevel	alt2superdomain
2662-0	58	basic22	gummyBears	candy	snack	gummy		gummy	gummyBears	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	4	cookies	3	3	NA	snack	popcorn	2	2	NA	snack
2662-0	60	basic22	blackBear	bear	animal	bear		bear	blackBear	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	4	iguana	4	3	NA	animal	rhino	2	2	NA	animal
2662-0	61	basic33	poloShirt	shirt	clothing	shirt		shirt	poloShirt	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	4	wardrobe	2	2	NA	furniture	crocodile	4	3	NA	animal
2662-0	63	basic23	dalmatian	dog	animal	dog		dog	dalmatian	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	2	train	3	3	NA	vehicle	sheep	4	4	NA	animal
2662-0	64	basic23	grizzlyBear	bear	animal	bear		bear	grizzlyBear	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4	4	train	3	3	NA	vehicle	hamster	2	2	NA	animal
2662-0	66	basic22	pug	dog	animal	dog		dog	pug	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	3	horse	4	2	NA	animal	lion	2	4	NA	animal
2662-0	69	basic23	skittles	candy	snack	candy		candy	skittles	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	2	chips	4	3	NA	snack	socks	2	4	NA	clothing
2662-0	71	basic33	germanShepherd	dog	animal	dog		dog	germanShepherd	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	3	4	train	4	3	NA	vehicle	pottedPlant	2	2	NA	plant
2662-0	72	basic22	jellyBeans	candy	snack	candy		candy	jellyBeans	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	2	chips	3	3	NA	snack	pretzels	4	4	NA	snack
4633-0	2	basic22	diningTable	table	furniture	table		table	diningTable	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2	4	bookcase	4	3	NA	furniture	lamp	3	2	NA	furniture
