itemtype,labeltype,item,label,meanresponse,YMin,YMax
dist_samesuper,sub,horse,a goldfish,0.02,0.00545454545454545,0.0372727272727273
dist_samesuper,sub,horse,a grizzly bear,0.00555555555555556,0.00111111111111111,0.0111111111111111
dist_samesuper,sub,horse,a hummingbird,0.025,0.0108333333333333,0.0433333333333333
dist_samesuper,sub,horse,a husky,0.0713333333333333,0.00800000000000001,0.186683333333333
dist_samesuper,sub,horse,a panda bear,0.0284210526315789,0.0084078947368421,0.0568552631578947
dist_samesuper,sub,horse,a polar bear,0.0345454545454545,0.0145454545454545,0.0572954545454545
dist_samesuper,sub,horse,a swordfish,0.0230769230769231,0.00769230769230769,0.03925
dist_samesuper,sub,horse,an eagle,0.0184615384615385,0.00461538461538461,0.0415576923076923
dist_samesuper,sub,iguana,a black bear,0.054,0.014,0.1245125
dist_samesuper,sub,iguana,a catfish,0.0154545454545455,0.00636363636363636,0.0263636363636364
dist_samesuper,sub,iguana,a clownfish,0.07625,0.00625000000000001,0.20503125
dist_samesuper,sub,iguana,a German Shepherd,0.0576470588235294,0.00764705882352941,0.140058823529412
dist_samesuper,sub,iguana,a goldfish,0.0227777777777778,0.0105555555555556,0.0383333333333333
dist_samesuper,sub,iguana,a grizzly bear,0.013125,0.005,0.02375
dist_samesuper,sub,iguana,a husky,0.0482352941176471,0.0111764705882353,0.110014705882353
dist_samesuper,sub,iguana,a panda bear,0.0283333333333333,0.0141666666666667,0.0466666666666667
dist_samesuper,sub,iguana,a parrot,0.0376923076923077,0.00692307692307692,0.0953846153846154
dist_samesuper,sub,iguana,a pigeon,0.0253846153846154,0.00846153846153846,0.0476923076923077
dist_samesuper,sub,iguana,a pug,0.0153846153846154,0.00692307692307692,0.0261538461538462
dist_samesuper,sub,iguana,a swordfish,0.0121428571428571,0.00428571428571429,0.022875
dist_samesuper,sub,iguana,an eagle,0.0294444444444444,0.00611111111111111,0.0644444444444444
dist_samesuper,sub,ivy,a daisy,0.144166666666667,0.0516458333333333,0.2516875
dist_samesuper,sub,ivy,a rose,0.16875,0.074984375,0.281890625
dist_samesuper,sub,ivy,a sunflower,0.0566666666666667,0.0127777777777778,0.13
dist_samesuper,sub,ivy,a tulip,0.131333333333333,0.0659833333333333,0.207333333333333
dist_samesuper,sub,kitten,a black bear,0.0423809523809524,0.00666666666666667,0.108571428571429
dist_samesuper,sub,kitten,a catfish,0.0116666666666667,0.00414583333333333,0.0208333333333333
dist_samesuper,sub,kitten,a clownfish,0.0191666666666667,0.00583333333333333,0.0391666666666667
dist_samesuper,sub,kitten,a dalmatian,0.0753333333333333,0.03665,0.128016666666667
dist_samesuper,sub,kitten,a German Shepherd,0.0142857142857143,0.00857142857142857,0.0207142857142857
dist_samesuper,sub,kitten,a goldfish,0.0246153846153846,0.00767307692307692,0.0461538461538462
dist_samesuper,sub,kitten,a grizzly bear,0.0386666666666667,0.00666666666666667,0.0940166666666667
dist_samesuper,sub,kitten,a hummingbird,0.0214285714285714,0.0121428571428571,0.0335714285714286
dist_samesuper,sub,kitten,a panda bear,0.00941176470588235,0.00176470588235294,0.0188382352941176
dist_samesuper,sub,kitten,a parrot,0.0144444444444444,0.00333333333333333,0.0255555555555556
dist_samesuper,sub,kitten,a pigeon,0.04,0.00727272727272727,0.1
dist_samesuper,sub,kitten,a polar bear,0.0225,0.009375,0.0375
dist_samesuper,sub,kitten,a pug,0.0441176470588235,0.0123529411764706,0.0935294117647059
dist_samesuper,sub,kitten,a swordfish,0.0330769230769231,0.00921153846153846,0.0676923076923077
dist_samesuper,sub,koalabear,a black bear,0.0836363636363636,0.0354318181818182,0.142795454545454
dist_samesuper,sub,koalabear,a grizzly bear,0.02375,0.01,0.03875
dist_samesuper,sub,koalabear,a panda bear,0.0822222222222222,0.00888888888888889,0.173472222222222
dist_samesuper,sub,koalabear,a polar bear,0.0925,0.01875,0.1875
dist_samesuper,sub,lamp,a bedside table,0.182727272727273,0.0572727272727273,0.345727272727272
dist_samesuper,sub,lamp,a coffee table,0.056,0.0279666666666667,0.0906666666666667
dist_samesuper,sub,lamp,a dining table,0.176875,0.07,0.302546875
dist_samesuper,sub,lamp,a picnic table,0.0273684210526316,0.0142105263157895,0.0436842105263158
dist_samesuper,sub,lily,a daisy,0.177647058823529,0.0935147058823529,0.272352941176471
dist_samesuper,sub,lily,a rose,0.119545454545455,0.0817840909090909,0.165909090909091
dist_samesuper,sub,lily,a sunflower,0.111818181818182,0.0481818181818182,0.183659090909091
dist_samesuper,sub,lily,a tulip,0.445263157894737,0.288407894736842,0.60053947368421
dist_samesuper,sub,lion,a black bear,0.013125,0.006875,0.02
dist_samesuper,sub,lion,a catfish,0.0107142857142857,0.00214285714285714,0.0221428571428571
dist_samesuper,sub,lion,a clownfish,0.0217647058823529,0.0111764705882353,0.0341176470588235
dist_samesuper,sub,lion,a dalmatian,0.052,0.00666666666666667,0.129333333333333
dist_samesuper,sub,lion,a German Shepherd,0.0292307692307692,0.00538461538461538,0.0684615384615385
dist_samesuper,sub,lion,a goldfish,0.00909090909090909,0.00181818181818182,0.0190909090909091
dist_samesuper,sub,lion,a grizzly bear,0.034,0.008,0.0640166666666667
dist_samesuper,sub,lion,a hummingbird,0.0123076923076923,0.00538461538461538,0.0207692307692308
dist_samesuper,sub,lion,a parrot,0.0283333333333333,0.00916666666666667,0.0516666666666667
dist_samesuper,sub,lion,a pigeon,0.009,0.003,0.016
dist_samesuper,sub,lion,a polar bear,0.02,0.003,0.04
dist_samesuper,sub,lion,a pug,0.103333333333333,0.0226333333333333,0.222683333333333
dist_samesuper,sub,lion,a swordfish,0.0175,0.00333333333333333,0.0366666666666667
dist_samesuper,sub,lion,an eagle,0.06625,0.023734375,0.131890625
dist_samesuper,sub,lobster,a black bear,0.0385714285714286,0.015,0.0671428571428571
dist_samesuper,sub,lobster,a catfish,0.0345454545454545,0,0.0772727272727273
dist_samesuper,sub,lobster,a clownfish,0.0505,0.0134875,0.1065125
dist_samesuper,sub,lobster,a dalmatian,0.010625,0.005,0.016875
dist_samesuper,sub,lobster,a German Shepherd,0.0185714285714286,0.00571428571428571,0.0314464285714286
dist_samesuper,sub,lobster,a goldfish,0.043,0.012,0.087
dist_samesuper,sub,lobster,a grizzly bear,0.0118181818181818,0.00363636363636364,0.0236363636363636
dist_samesuper,sub,lobster,a husky,0.044,0.009,0.108
dist_samesuper,sub,lobster,a panda bear,0.0290909090909091,0.00909090909090909,0.0645454545454545
