Item,Color,Utterance,Typicality,CI.low,CI.high
avocado,green,green pear,0.019,0.00363636363636364,0.0372727272727273
avocado,green,green pepper,0.14,0.0664107142857143,0.228607142857143
avocado,green,green tomato,0.087,0.0366666666666667,0.148333333333333
avocado,green,orange carrot,0.006,0.001,0.013
avocado,green,orange pear,0.021,0.00266666666666667,0.0493333333333333
avocado,green,orange pepper,0.036,0.00428571428571429,0.0892857142857143
avocado,green,purple carrot,0.153,0.0379166666666667,0.3067
avocado,green,purple tomato,0.025,0.00363636363636364,0.0518409090909091
avocado,green,red apple,0.031,0.00785714285714286,0.0700178571428571
avocado,green,red avocado,0.198,0.1632421875,0.2341265625
avocado,green,red pepper,0.038,0.0105263157894737,0.0710526315789474
avocado,green,red tomato,0.065,0.0186666666666667,0.138
avocado,green,yellow banana,0.052,0.007,0.13
avocado,green,yellow pear,0.023,0.006234375,0.041875
avocado,red,black avocado,0.312,0.2688734375,0.35506875
avocado,red,black pepper,0.065,0.01625,0.145
avocado,red,blue apple,0.017,0.00272727272727273,0.0436363636363636
avocado,red,blue banana,0.043,0.00842105263157895,0.0868421052631579
avocado,red,brown banana,0.028,0.00545454545454545,0.0581818181818182
avocado,red,brown carrot,0.048,0.0225,0.0780125
avocado,red,green apple,0.042,0.0180952380952381,0.0700119047619047
avocado,red,green avocado,0.252,0.21574375,0.2908765625
avocado,red,green pear,0.035,0.01,0.0641666666666667
avocado,red,green pepper,0.089,0.04,0.150909090909091
avocado,red,green tomato,0.036,0.0104545454545455,0.0705113636363636
avocado,red,orange carrot,0.058,0.01875,0.100625
avocado,red,orange pear,0.064,0.025702380952381,0.111904761904762
avocado,red,orange pepper,0.052,0.0246153846153846,0.0846153846153846
avocado,red,purple carrot,0.051,0.005,0.11375
avocado,red,purple tomato,0.114,0.02625,0.22503125
avocado,red,red apple,0.157,0.0156964285714286,0.329285714285714
avocado,red,red avocado,0.848,0.8076234375,0.8841265625
avocado,red,red pepper,0.187,0.054984375,0.35565625
avocado,red,red tomato,0.108,0.0141029411764706,0.244735294117647
avocado,red,yellow banana,0.033,0.00846153846153846,0.0623076923076923
avocado,red,yellow pear,0.041,0.0142857142857143,0.0728571428571429
banana,blue,black avocado,0.041,0.013,0.071
banana,blue,black pepper,0.036,0.006,0.0753333333333333
banana,blue,blue apple,0.082,0.0314875,0.1445375
banana,blue,blue banana,0.916,0.8773125,0.9481296875
banana,blue,brown banana,0.148,0.121,0.1757515625
banana,blue,brown carrot,0.028,0.00166666666666667,0.075
banana,blue,green apple,0.02,0.00951190476190476,0.0338214285714286
banana,blue,green avocado,0.005,0.00142857142857143,0.00928571428571429
banana,blue,green pear,0.025,0.005,0.0541875
banana,blue,green pepper,0.014,0.0025,0.033125
banana,blue,green tomato,0.017,0.00625,0.028765625
banana,blue,orange carrot,0.025,0.0107142857142857,0.0407142857142857
banana,blue,orange pear,0.018,0.0075,0.0316666666666667
banana,blue,orange pepper,0.037,0.0135294117647059,0.0694264705882353
banana,blue,purple carrot,0.024,0.00363636363636364,0.0509090909090909
banana,blue,purple tomato,0.001,0,0.00428571428571429
banana,blue,red apple,0.027,0.009975,0.048
banana,blue,red avocado,0.041,0.0179833333333333,0.0700166666666667
banana,blue,red pepper,0.008,0,0.019
banana,blue,red tomato,0.014,0.00357142857142857,0.0257142857142857
banana,blue,yellow banana,0.149,0.12418125,0.176503125
banana,blue,yellow pear,0.014,0.00333333333333333,0.0273333333333333
banana,brown,black avocado,0.009,0,0.0177777777777778
banana,brown,black pepper,0.032,0.0145961538461538,0.0530961538461538
banana,brown,blue apple,0.126,0.0127272727272727,0.250931818181818
banana,brown,blue banana,0.151,0.1239375,0.178765625
banana,brown,brown banana,0.909,0.8758109375,0.937278125
banana,brown,brown carrot,0.053,0.0188611111111111,0.0967083333333333
banana,brown,green apple,0.016,0.00142857142857143,0.0364285714285714
banana,brown,green avocado,0.021,0.00846153846153846,0.04
banana,brown,green pear,0.023,0.00525,0.04475
banana,brown,green pepper,0.004,0,0.008
banana,brown,green tomato,0.003,0,0.00571428571428571
banana,brown,orange carrot,0.02,0.0055,0.0435125
banana,brown,orange pear,0.025,0.0075,0.048
banana,brown,orange pepper,0.049,0.0141176470588235,0.0965
banana,brown,purple carrot,0.044,0.01,0.08253125
banana,brown,purple tomato,0.004,0,0.00875
banana,brown,red apple,0.018,0.00818181818181818,0.0277272727272727
banana,brown,red avocado,0.01,0.00125,0.024375
banana,brown,red pepper,0.025,0.00333333333333333,0.0541875
