color,size,condition,othercolor,item,utt,prob,zero
color,size,color44,othercolor,item,size_othercolor,-37.51506704133969,0
color,size,color44,othercolor,item,color,-0.028249649305180972,0
color,size,color44,othercolor,item,size,-19.442497779502617,0
color,size,color44,othercolor,item,size_color,-3.580765937760013,0
color,size,size31,othercolor,item,othercolor,-30.82653247561442,0
color,size,size31,othercolor,item,othersize_othercolor,-29.229430788030143,0
color,size,size31,othercolor,item,othersize,-31.435867602959554,0
color,size,size31,othercolor,item,othersize_color,-19.47307033850454,0
color,size,size31,othercolor,item,color,-4.307672716109394,0
color,size,size31,othercolor,item,size,-1.180677772642511,0
color,size,size31,othercolor,item,size_color,-0.3864501397836051,0
