modelVersion,costs,semantics,margLikelihood
typicality,empirical,fixedplusempirical,-1276.6728293824565
typicality,empirical,empirical,-1362.9302390430778
typicality,fixed,fixedplusempirical,-1194.0294340247556
typicality,empirical,fixedplusempirical,-1250.60562962346
typicality,empirical,empirical,-1378.8032647074317
typicality,none,fixedplusempirical,-1178.9298701981909
typicality,fixed,fixedplusempirical,-1206.975417611555
typicality,none,empirical,-1347.007970747371
typicality,empirical,fixedplusempirical,-1241.5403547551757
typicality,fixed,empirical,-1390.234894026022
typicality,empirical,empirical,-1411.141140553763
typicality,none,fixedplusempirical,-1179.9017429584294
typicality,fixed,empirical,-1403.6134334799422
typicality,none,empirical,-1378.1358670458217
typicality,none,empirical,-1395.022479616136
typicality,fixed,fixedplusempirical,-1369.097503986885
typicality,none,fixedplusempirical,-1180.6538793167063
typicality,empirical,fixedplusempirical,-1200.131557366983
typicality,empirical,empirical,-1383.7711415168956
typicality,fixed,empirical,-1354.4724917617164
typicality,none,fixedplusempirical,-1182.9092370838391
typicality,fixed,empirical,-1356.6089030992723
typicality,none,empirical,-1339.7433509968903
typicality,fixed,fixedplusempirical,-1224.9150717318068
typicality,fixed,fixedplusempirical,-1211.5969961806186
typicality,empirical,fixedplusempirical,-1284.5916360234107
typicality,empirical,empirical,-1401.0317030969586
typicality,none,fixedplusempirical,-1182.2974918419206
typicality,none,empirical,-1350.5324653129987
typicality,empirical,fixedplusempirical,-1233.8649505117094
typicality,fixed,fixedplusempirical,-1281.8566500321506
typicality,fixed,empirical,-1316.291258354805
typicality,empirical,empirical,-1371.9975007897942
typicality,empirical,empirical,-1438.6512288552456
typicality,fixed,fixedplusempirical,-1242.5388205115657
typicality,fixed,empirical,-1392.4811722723593
typicality,none,fixedplusempirical,-1210.4862278532307
typicality,empirical,fixedplusempirical,-1316.4414446156482
typicality,none,empirical,-1378.0405536614405
typicality,none,empirical,-1339.0455356551536
typicality,none,fixedplusempirical,-1184.1677474128003
typicality,fixed,fixedplusempirical,-1234.218264484228
typicality,empirical,fixedplusempirical,-1247.5904889613435
typicality,fixed,empirical,-1322.373888413276
typicality,empirical,empirical,-1434.6821120675434
typicality,none,fixedplusempirical,-1189.5475776341475
typicality,none,empirical,-1365.5897211233694
typicality,empirical,fixedplusempirical,-1208.2947508374293
typicality,empirical,empirical,-1367.5657487474843
typicality,fixed,fixedplusempirical,-1197.6995307092936
typicality,none,fixedplusempirical,-1179.2516555234731
typicality,fixed,empirical,-1334.3857410394166
typicality,none,empirical,-1344.8680307445486
typicality,empirical,fixedplusempirical,-1276.5033568005765
typicality,fixed,empirical,-1361.1835128222933
typicality,fixed,fixedplusempirical,-1289.4900037238324
typicality,empirical,empirical,-1373.527291786901
typicality,empirical,empirical,-1368.4401607174282
typicality,none,fixedplusempirical,-1178.1625212871843
typicality,empirical,fixedplusempirical,-1292.8560826534479
typicality,none,empirical,-1343.1137950304026
typicality,fixed,fixedplusempirical,-1189.8179553224588
typicality,fixed,empirical,-1372.7321517474988
typicality,none,fixedplusempirical,-1178.1469758872886
typicality,empirical,fixedplusempirical,-1213.8217412188492
typicality,none,empirical,-1336.647808697519
typicality,fixed,fixedplusempirical,-1231.1342226374575
typicality,empirical,empirical,-1364.6957847206577
typicality,fixed,empirical,-1323.2892454996363
typicality,none,empirical,-1411.721645331248
typicality,none,fixedplusempirical,-1179.3526834610998
typicality,fixed,empirical,-1353.2765800196546
typicality,fixed,fixedplusempirical,-1246.6322936651297
typicality,empirical,fixedplusempirical,-1424.0588173159954
typicality,empirical,empirical,-1377.2898359323178
typicality,none,fixedplusempirical,-1184.7652562970277
typicality,none,empirical,-1361.6306955177909
typicality,fixed,empirical,-1334.046203004205
typicality,fixed,fixedplusempirical,-1263.3505884547576
typicality,empirical,fixedplusempirical,-1329.2252618629125
typicality,empirical,empirical,-1368.2258910218256
typicality,none,fixedplusempirical,-1182.1714907929106
typicality,none,empirical,-1358.4711192154305
typicality,fixed,fixedplusempirical,-1222.7117201890974
typicality,empirical,fixedplusempirical,-1232.6921670887184
typicality,fixed,empirical,-1337.3888851283625
typicality,empirical,empirical,-1378.5173564581414
typicality,empirical,empirical,-1347.1030110059494
typicality,none,empirical,-1339.0123848627268
typicality,empirical,fixedplusempirical,-1374.4735585702206
typicality,none,fixedplusempirical,-1182.6611142929175
typicality,fixed,empirical,-1388.6362200272965
typicality,fixed,fixedplusempirical,-1189.015854209716
typicality,empirical,fixedplusempirical,-1290.9524191510216
typicality,none,fixedplusempirical,-1181.4126074724356
typicality,empirical,empirical,-1399.6205124520438
typicality,fixed,fixedplusempirical,-1236.7107038310005
typicality,fixed,empirical,-1366.8344909371306
typicality,none,empirical,-1341.0889127634582
typicality,empirical,empirical,-1431.6111580824675
typicality,none,fixedplusempirical,-1179.4533866513939
typicality,empirical,fixedplusempirical,-1242.2751753825435
typicality,fixed,fixedplusempirical,-1284.6054896532676
typicality,fixed,empirical,-1334.017664715217
typicality,none,empirical,-1378.9482518918678
typicality,empirical,empirical,-1410.9517446802622
typicality,empirical,fixedplusempirical,-1203.4640280113204
typicality,fixed,fixedplusempirical,-1202.5741282674649
typicality,none,fixedplusempirical,-1204.7598524925888
typicality,none,empirical,-1340.0104568820059
typicality,fixed,empirical,-1369.8215321690782
typicality,empirical,fixedplusempirical,-1271.44065430526
typicality,none,empirical,-1342.9183804151617
typicality,empirical,empirical,-1389.0110287334999
typicality,none,fixedplusempirical,-1206.0283657355442
typicality,fixed,fixedplusempirical,-1196.6089604432557
typicality,fixed,empirical,-1377.6761965620249
typicality,none,fixedplusempirical,-1184.523049100595
typicality,none,empirical,-1337.202290048921
