clickedType,condition,DistractorCombo
mnms,basic33,bookcase sheep
skittles,basic33,grasses pig
sunflower,basic23,pottedPlant squirrel
blackbear,basic12,koalaBear sheep
convertible,basic23,ambulance bookcase
minivan,basic23,bed firetruck
clownfish,basic22,horse rhino
husky,basic22,hamster rhino
polarbear,basic23,iguana motorcycle
pug,basic22,crocodile snake
tulip,basic23,kitten pottedPlant
sportscar,basic33,hamster ivy
pandabear,basic23,bookcase rhino
rose,basic22,grasses pottedPlant
hummingbird,basic12,lobster sparrow
goldfish,basic33,bathrobe ivy
eagle,basic22,iguana lion
coffeetable,basic12,sideTable wardrobe
daisy,basic33,pig wardrobe
grizzlybear,basic22,cow crocodile
sunflower,basic12,lily pottedPlant
goldfish,basic22,iguana lobster
eagle,basic12,snake sparrow
convertible,basic33,bathrobe pig
parrot,basic33,gloves train
suv,basic33,popcorn snake
minivan,basic22,firetruck train
pandabear,basic23,hamster wardrobe
catfish,basic33,dress pottedPlant
gummybears,basic22,chips cookies
germanshepherd,basic22,elephant rhino
rose,basic23,lobster pottedPlant
husky,basic22,crocodile rabbit
hawaiishirt,basic23,crocodile socks
coffeetable,basic23,bed dress
picnictable,basic33,bathrobe popcorn
dalmatian,basic33,bookcase pottedPlant
mnms,basic12,candyCorn chips
skittles,basic23,cookies lion
daisy,basic33,chips lamp
jellybeans,basic23,popcorn rabbit
swordfish,basic23,gloves lion
blackbear,basic22,lobster snake
dressshirt,basic23,dress snake
sportscar,basic33,bathrobe grasses
diningtable,basic23,lamp lion
pigeon,basic12,elephant sparrow
bedsidetable,basic22,bed lamp
pug,basic33,bookcase popcorn
hummingbird,basic22,elephant horse
coffeetable,basic23,bookcase socks
goldfish,basic12,discusFish snake
hawaiishirt,basic33,bed bison
pigeon,basic33,bed pretzels
swordfish,basic12,discusFish elephant
grizzlybear,basic12,koalaBear squirrel
minivan,basic33,bathrobe lobster
pug,basic33,bookcase cookies
tshirt,basic22,dress socks
rose,basic33,motorcycle wardrobe
daisy,basic33,socks train
polarbear,basic12,koalaBear sheep
catfish,basic12,discusFish iguana
sportscar,basic22,ambulance train
poloshirt,basic22,dress socks
husky,basic22,kitten rhino
germanshepherd,basic23,bathrobe elephant
eagle,basic33,ambulance chips
tulip,basic23,bathrobe ivy
mnms,basic33,firetruck rhino
dalmatian,basic23,crocodile firetruck
clownfish,basic33,lamp pretzels
diningtable,basic23,bookcase crocodile
picnictable,basic23,bed rhino
hummingbird,basic22,lion sheep
dressshirt,basic23,dress hamster
pandabear,basic22,iguana rabbit
blackbear,basic22,lion snake
parrot,basic12,rabbit sparrow
tshirt,basic12,campShirt dress
mnms,basic22,cookies pretzels
gummybears,basic23,bed popcorn
germanshepherd,basic22,bison rhino
jellybeans,basic12,candyCorn chips
sportscar,basic33,lion socks
husky,basic33,chips pottedPlant
pug,basic12,greyhound pig
dalmatian,basic12,greyhound lion
poloshirt,basic23,snake socks
pandabear,basic23,firetruck squirrel
picnictable,basic22,bed lamp
pigeon,basic23,bed hamster
suv,basic33,pottedPlant rhino
eagle,basic12,rabbit sparrow
convertible,basic22,ambulance firetruck
blackbear,basic22,cow elephant
diningtable,basic12,lamp sideTable
skittles,basic22,chips popcorn
clownfish,basic33,lamp socks
tulip,basic23,lobster pottedPlant
sunflower,basic33,cookies motorcycle
coffeetable,basic33,bathrobe hamster
goldfish,basic12,bison discusFish
hummingbird,basic33,chips dress
polarbear,basic23,lobster socks
grizzlybear,basic33,lamp popcorn
swordfish,basic33,bathrobe bed
daisy,basic22,grasses pottedPlant
parrot,basic23,gloves rhino
husky,basic12,greyhound snake
hawaiishirt,basic12,campShirt dress
catfish,basic12,discusFish kitten
tulip,basic33,pig popcorn
gummybears,basic22,popcorn pretzels
minivan,basic33,bathrobe wardrobe
hummingbird,basic23,gloves pig
eagle,basic23,grasses pig
picnictable,basic22,bookcase lamp
mnms,basic33,grasses lobster
sportscar,basic23,ambulance rosemary
poloshirt,basic33,kitten pretzels
suv,basic33,bookcase rhino
rose,basic12,lily rosemary
jellybeans,basic23,cookies crocodile
convertible,basic23,firetruck kitten
germanshepherd,basic22,iguana lobster
dalmatian,basic23,hamster socks
diningtable,basic23,bed hamster
goldfish,basic12,crocodile discusFish
blackbear,basic22,bison rabbit
pandabear,basic22,iguana kitten
polarbear,basic33,bed dress
parrot,basic23,grasses iguana
pug,basic33,firetruck pretzels
pigeon,basic33,cookies grasses
swordfish,basic12,discusFish hamster
blackbear,basic23,elephant firetruck
suv,basic33,cookies pig
goldfish,basic33,bookcase popcorn
husky,basic23,elephant motorcycle
hummingbird,basic33,bookcase dress
pug,basic12,greyhound squirrel
dalmatian,basic22,cow sheep
polarbear,basic22,lobster pig
poloshirt,basic23,bathrobe lobster
minivan,basic23,bison firetruck
convertible,basic33,bathrobe rosemary
daisy,basic33,pig train
germanshepherd,basic12,cow greyhound
tulip,basic12,grasses lily
catfish,basic22,cow squirrel
convertible,basic33,gloves kitten
mnms,basic23,chips firetruck
diningtable,basic23,bed chips
pandabear,basic12,hamster koalaBear
husky,basic22,horse rhino
goldfish,basic23,sheep socks
hummingbird,basic22,cow iguana
parrot,basic33,bookcase cookies
jellybeans,basic23,chips kitten
swordfish,basic33,ambulance cookies
polarbear,basic33,lamp socks
picnictable,basic22,bed bookcase
eagle,basic23,lion pottedPlant
pigeon,basic33,motorcycle rosemary
clownfish,basic22,crocodile kitten
grizzlybear,basic12,koalaBear lion
sportscar,basic23,firetruck kitten
bedsidetable,basic12,bed sideTable
minivan,basic33,lion rosemary
blackbear,basic22,bison snake
sunflower,basic33,bison chips
gummybears,basic33,lamp rosemary
pug,basic23,crocodile wardrobe
poloshirt,basic22,gloves socks
coffeetable,basic23,bed lion
sunflower,basic23,chips pottedPlant
tulip,basic23,grasses train
coffeetable,basic12,lamp sideTable
parrot,basic33,cookies socks
husky,basic22,crocodile snake
convertible,basic12,sedan train
swordfish,basic33,cookies gloves
sportscar,basic22,ambulance motorcycle
dalmatian,basic22,iguana rabbit
germanshepherd,basic12,greyhound hamster
mnms,basic22,popcorn pretzels
catfish,basic12,discusFish rabbit
goldfish,basic12,discusFish rabbit
tshirt,basic23,bathrobe wardrobe
minivan,basic33,elephant popcorn
jellybeans,basic12,candyCorn cookies
hawaiishirt,basic22,bathrobe dress
dressshirt,basic33,ambulance pretzels
polarbear,basic22,cow elephant
pandabear,basic33,lamp pottedPlant
poloshirt,basic33,pig wardrobe
rose,basic33,chips squirrel
pigeon,basic23,bookcase rabbit
clownfish,basic23,bookcase elephant
grizzlybear,basic23,popcorn snake
suv,basic33,chips lion
pug,basic23,pig wardrobe
eagle,basic33,bed gloves
gummybears,basic23,chips pottedPlant
bedsidetable,basic23,bed chips
blackbear,basic12,kitten koalaBear
diningtable,basic23,dress wardrobe
catfish,basic22,iguana snake
eagle,basic12,horse sparrow
tshirt,basic33,cookies crocodile
rose,basic33,chips dress
dressshirt,basic23,bathrobe bed
suv,basic23,ambulance bison
jellybeans,basic33,ivy rhino
sportscar,basic33,bed bison
picnictable,basic23,rabbit wardrobe
hawaiishirt,basic23,dress ivy
polarbear,basic12,crocodile koalaBear
parrot,basic12,hamster sparrow
daisy,basic23,elephant pottedPlant
blackbear,basic33,ambulance dress
grizzlybear,basic22,bison iguana
hummingbird,basic33,gloves popcorn
poloshirt,basic33,motorcycle pottedPlant
pigeon,basic22,crocodile rhino
husky,basic22,kitten lion
mnms,basic12,candyCorn cookies
convertible,basic23,popcorn train
pug,basic22,crocodile squirrel
sunflower,basic23,lion rosemary
dalmatian,basic12,crocodile greyhound
tulip,basic33,ambulance gloves
clownfish,basic23,bathrobe lobster
pandabear,basic33,ivy train
goldfish,basic12,discusFish lion
germanshepherd,basic23,bed iguana
hummingbird,basic22,crocodile sheep
tshirt,basic33,snake train
convertible,basic33,iguana ivy
gummybears,basic23,bison cookies
rose,basic22,ivy rosemary
daisy,basic33,chips sheep
sportscar,basic23,firetruck iguana
eagle,basic23,lion wardrobe
catfish,basic33,bathrobe train
sunflower,basic33,gloves lamp
mnms,basic22,chips pretzels
grizzlybear,basic12,elephant koalaBear
pug,basic33,lamp pottedPlant
swordfish,basic33,ambulance grasses
goldfish,basic12,discusFish sheep
clownfish,basic33,grasses lamp
suv,basic23,ivy train
bedsidetable,basic23,bookcase iguana
skittles,basic23,popcorn snake
diningtable,basic12,bed sideTable
picnictable,basic33,horse rosemary
pandabear,basic12,koalaBear snake
coffeetable,basic22,bed lamp
polarbear,basic22,cow lobster
husky,basic22,cow lobster
parrot,basic12,kitten sparrow
pigeon,basic22,bison horse
dalmatian,basic23,pottedPlant snake
tulip,basic23,cookies rosemary
mnms,basic22,chips cookies
goldfish,basic33,cookies wardrobe
poloshirt,basic23,bathrobe hamster
tulip,basic23,grasses motorcycle
swordfish,basic33,bookcase train
gummybears,basic33,bed sheep
germanshepherd,basic23,firetruck squirrel
dalmatian,basic33,cookies wardrobe
sunflower,basic33,chips sheep
sportscar,basic23,ambulance grasses
skittles,basic33,squirrel wardrobe
jellybeans,basic33,lion motorcycle
pug,basic22,horse lobster
hummingbird,basic12,rhino sparrow
picnictable,basic23,bed pottedPlant
eagle,basic23,cow dress
daisy,basic22,ivy pottedPlant
minivan,basic12,sedan train
parrot,basic23,dress pig
clownfish,basic22,horse kitten
bedsidetable,basic12,bookcase sideTable
convertible,basic33,crocodile wardrobe
polarbear,basic23,bison rosemary
blackbear,basic12,cow koalaBear
diningtable,basic33,kitten motorcycle
pigeon,basic23,bison motorcycle
dressshirt,basic22,bathrobe socks
daisy,basic23,lobster rosemary
pigeon,basic22,elephant rabbit
eagle,basic23,ambulance bison
husky,basic33,cookies grasses
goldfish,basic22,lobster rabbit
rose,basic22,grasses rosemary
minivan,basic12,ambulance sedan
coffeetable,basic33,ambulance cow
poloshirt,basic23,bathrobe train
sunflower,basic33,bathrobe lobster
jellybeans,basic33,ambulance bathrobe
germanshepherd,basic12,greyhound lion
bedsidetable,basic33,bison dress
convertible,basic23,bathrobe motorcycle
grizzlybear,basic22,bison cow
hawaiishirt,basic23,bathrobe crocodile
pug,basic23,crocodile pretzels
pandabear,basic22,bison elephant
picnictable,basic33,cow dress
clownfish,basic22,lobster rhino
gummybears,basic33,bathrobe rhino
blackbear,basic33,bookcase cookies
dalmatian,basic23,rhino rosemary
swordfish,basic22,pig snake
polarbear,basic23,popcorn squirrel
skittles,basic33,lion wardrobe
rose,basic23,ivy rabbit
parrot,basic22,lion lobster
hawaiishirt,basic22,bathrobe gloves
tulip,basic23,bed grasses
polarbear,basic12,koalaBear rabbit
minivan,basic33,cookies squirrel
daisy,basic33,pig pretzels
pandabear,basic23,dress iguana
sunflower,basic33,lamp snake
germanshepherd,basic12,greyhound rabbit
mnms,basic33,firetruck rosemary
skittles,basic23,popcorn sheep
picnictable,basic23,bookcase popcorn
bedsidetable,basic22,bookcase wardrobe
suv,basic23,motorcycle rabbit
poloshirt,basic12,bathrobe campShirt
dressshirt,basic33,bookcase popcorn
sportscar,basic22,motorcycle train
jellybeans,basic23,pretzels squirrel
gummybears,basic33,ambulance kitten
hummingbird,basic22,bison rhino
pug,basic22,lion squirrel
dalmatian,basic23,kitten popcorn
swordfish,basic33,grasses wardrobe
catfish,basic22,lion rhino
coffeetable,basic23,kitten wardrobe
eagle,basic12,hamster sparrow
grizzlybear,basic12,koalaBear snake
goldfish,basic33,cookies rosemary
blackbear,basic33,cookies firetruck
eagle,basic22,crocodile sheep
jellybeans,basic23,chips ivy
dalmatian,basic23,firetruck rhino
gummybears,basic12,candyCorn chips
suv,basic23,ambulance grasses
poloshirt,basic22,dress gloves
pigeon,basic33,motorcycle popcorn
rose,basic33,bed kitten
convertible,basic33,lamp rhino
mnms,basic23,chips dress
pigeon,basic33,gloves popcorn
clownfish,basic23,cookies lobster
tshirt,basic12,bathrobe campShirt
hawaiishirt,basic33,bookcase lion
skittles,basic22,chips pretzels
pandabear,basic23,bathrobe pig
blackbear,basic12,horse koalaBear
eagle,basic22,bison lobster
gummybears,basic33,horse motorcycle
dressshirt,basic33,lamp popcorn
pug,basic12,crocodile greyhound
parrot,basic23,elephant pottedPlant
daisy,basic23,rosemary wardrobe
poloshirt,basic23,ambulance gloves
minivan,basic33,bathrobe elephant
goldfish,basic22,pig snake
catfish,basic22,bison elephant
polarbear,basic22,bison crocodile
grizzlybear,basic22,cow lobster
swordfish,basic22,elephant lobster
tulip,basic33,bed bison
husky,basic12,greyhound iguana
germanshepherd,basic12,greyhound iguana
diningtable,basic23,hamster wardrobe
dalmatian,basic33,bathrobe bed
suv,basic23,ambulance popcorn
pug,basic22,lobster pig
blackbear,basic23,bathrobe cow
parrot,basic22,hamster rhino
polarbear,basic22,horse snake
husky,basic12,cow greyhound
swordfish,basic22,iguana lion
sportscar,basic33,lamp socks
daisy,basic33,bathrobe lion
pigeon,basic33,bed pottedPlant
germanshepherd,basic23,horse rosemary
picnictable,basic12,lamp sideTable
clownfish,basic23,cow pottedPlant
goldfish,basic22,lobster sheep
bedsidetable,basic23,bookcase rhino
tshirt,basic33,ambulance bison
catfish,basic33,ambulance wardrobe
pandabear,basic22,elephant rhino
eagle,basic23,bookcase lobster
minivan,basic33,bathrobe rosemary
skittles,basic23,cookies pottedPlant
grizzlybear,basic33,lamp pretzels
coffeetable,basic23,crocodile lamp
daisy,basic23,pottedPlant squirrel
convertible,basic33,chips rhino
pigeon,basic12,snake sparrow
tulip,basic33,pig train
eagle,basic33,cookies motorcycle
goldfish,basic22,lobster squirrel
suv,basic12,ambulance sedan
polarbear,basic33,lamp train
rose,basic12,grasses lily
sportscar,basic33,cow grasses
tshirt,basic23,dress pretzels
sunflower,basic33,bathrobe horse
germanshepherd,basic23,bed elephant
grizzlybear,basic22,hamster kitten
goldfish,basic33,cookies dress
catfish,basic22,kitten snake
minivan,basic22,firetruck motorcycle
diningtable,basic22,bookcase wardrobe
hummingbird,basic23,pretzels sheep
clownfish,basic12,discusFish iguana
dalmatian,basic23,firetruck lobster
convertible,basic33,cow rosemary
gummybears,basic23,chips rosemary
skittles,basic33,bookcase hamster
suv,basic33,dress elephant
jellybeans,basic23,cookies iguana
pug,basic22,crocodile pig
parrot,basic23,ivy lobster
pandabear,basic22,bison hamster
tulip,basic33,bed dress
eagle,basic12,sheep sparrow
blackbear,basic22,iguana rabbit
daisy,basic12,ivy lily
poloshirt,basic33,cow ivy
pigeon,basic22,bison sheep
mnms,basic23,motorcycle popcorn
picnictable,basic23,bookcase firetruck
rose,basic23,elephant ivy
eagle,basic22,hamster kitten
hummingbird,basic33,dress grasses
sunflower,basic23,rosemary train
gummybears,basic33,ambulance squirrel
tshirt,basic33,cookies hamster
